genes model_results_hr model_results_hr_lci model_results_hr_uci
7898 MME 2.302141e-01 6.613971e-02 8.013116e-01
358 AK1 2.304776e-01 6.697207e-02 7.931656e-01
5848 HLA-DPA1 2.305583e-01 6.678672e-02 7.959236e-01
5743 HERC1 2.307249e-01 6.803343e-02 7.824678e-01
11581 SIGLEC1 2.308183e-01 6.742565e-02 7.901604e-01
11141 SAMHD1 2.311276e-01 6.816123e-02 7.837293e-01
9306 PDPN 2.314380e-01 6.581301e-02 8.138749e-01
7108 LOC149620 2.320549e-01 6.824873e-02 7.890178e-01
12318 ST6GALNAC6 2.321797e-01 6.649389e-02 8.107126e-01
4786 FERMT3 2.326049e-01 6.807786e-02 7.947526e-01
63 ABCG2 2.327372e-01 6.708573e-02 8.074239e-01
13965 VTN 2.327409e-01 6.985942e-02 7.753904e-01
4167 EMILIN2 2.333488e-01 7.035223e-02 7.739864e-01
12337 STAP1 2.333987e-01 6.656470e-02 8.183759e-01
11601 SIRPA 2.335415e-01 6.801847e-02 8.018652e-01
7607 MATK 2.336825e-01 7.297056e-02 7.483499e-01
10189 PTGER4 2.337191e-01 6.581681e-02 8.299497e-01
11889 SLCO2B1 2.340615e-01 6.960810e-02 7.870462e-01
12912 TM9SF2 2.341133e-01 7.086009e-02 7.734826e-01
4970 FPR1 2.341818e-01 6.899229e-02 7.948878e-01
2494 CD80 2.341848e-01 6.913359e-02 7.932834e-01
445 ALOX5 2.347777e-01 6.873711e-02 8.019042e-01
5308 GM2A 2.352019e-01 6.593495e-02 8.390080e-01
2459 CD300LF 2.358559e-01 6.795071e-02 8.186521e-01
5218 GGT6 2.361476e-01 7.189086e-02 7.756994e-01
5220 GGTA1 2.365782e-01 6.902064e-02 8.109058e-01
11655 SLC15A3 2.366970e-01 7.129774e-02 7.857959e-01
2204 CAT 2.367364e-01 7.065665e-02 7.931897e-01
216 ADAMTSL1 2.367814e-01 6.592869e-02 8.503949e-01
8111 MT1E 2.370115e-01 7.373178e-02 7.618758e-01
10233 PTPN6 2.371014e-01 6.967794e-02 8.068129e-01
1574 C17orf87 2.372562e-01 6.685415e-02 8.419895e-01
395 ALAD 2.373279e-01 7.051196e-02 7.987937e-01
11746 SLC28A3 2.376788e-01 7.052962e-02 8.009572e-01
6435 JAM2 2.377209e-01 6.917801e-02 8.168956e-01
2478 CD4 2.378754e-01 6.995584e-02 8.088630e-01
4412 FAIM3 2.382007e-01 6.827220e-02 8.310788e-01
7759 METTL7A 2.383739e-01 7.095395e-02 8.008311e-01
6166 IGSF6 2.383966e-01 7.201975e-02 7.891298e-01
9514 PIK3R6 2.384202e-01 6.941576e-02 8.188945e-01
11516 SH2B3 2.385093e-01 6.972023e-02 8.159282e-01
4481 FAM13B 2.386121e-01 7.224484e-02 7.880942e-01
11855 SLC6A12 2.388392e-01 6.957854e-02 8.198529e-01
7578 MARCH1 2.392831e-01 6.959797e-02 8.226731e-01
5845 HLA-DMB 2.393135e-01 6.988690e-02 8.194805e-01
6000 HSD17B4 2.394857e-01 7.066692e-02 8.116020e-01
11115 S1PR4 2.395667e-01 7.035440e-02 8.157583e-01
13193 TNFSF13 2.403635e-01 7.105908e-02 8.130506e-01
11541 SH3TC1 2.406160e-01 7.113072e-02 8.139389e-01
7987 MRC1 2.408691e-01 7.322701e-02 7.923021e-01
611 AP3M1 2.410219e-01 6.919783e-02 8.394998e-01
2188 CASP1 2.412107e-01 7.115939e-02 8.176379e-01
6184 IL11RA 2.412216e-01 6.879919e-02 8.457640e-01
14549 ZNF382 2.418948e-01 7.045797e-02 8.304683e-01
8295 NAALADL1 2.419959e-01 7.266792e-02 8.058854e-01
5846 HLA-DOA 2.422870e-01 6.821501e-02 8.605580e-01
6324 IQGAP2 2.425444e-01 7.318354e-02 8.038391e-01
12064 SNX20 2.425827e-01 6.966070e-02 8.447568e-01
1438 C13orf18 2.432988e-01 7.455875e-02 7.939284e-01
1355 C10orf46 2.433329e-01 7.299501e-02 8.111638e-01
12728 TENC1 2.435279e-01 7.370673e-02 8.046187e-01
465 AMICA1 2.435551e-01 7.100681e-02 8.354000e-01
4688 FBP1 2.436800e-01 7.117361e-02 8.342974e-01
10490 RASGRP4 2.437857e-01 7.313911e-02 8.125813e-01
2410 CCR4 2.443544e-01 7.131118e-02 8.373027e-01
9008 P2RY14 2.444350e-01 7.325081e-02 8.156695e-01
10304 QKI 2.449569e-01 7.184935e-02 8.351349e-01
12284 SSH1 2.451682e-01 7.495750e-02 8.018872e-01
9903 PPP1R16B 2.455674e-01 7.293333e-02 8.268282e-01
80 ABI3 2.455903e-01 7.054185e-02 8.550184e-01
7795 MGAT1 2.456313e-01 7.251673e-02 8.320112e-01
1622 C19orf56 2.457123e-01 7.241373e-02 8.337442e-01
5693 HCK 2.457812e-01 7.271080e-02 8.308036e-01
11012 RRAD 2.460184e-01 7.293420e-02 8.298585e-01
1320 BTN2A2 2.461293e-01 7.171777e-02 8.446952e-01
8082 MS4A6A 2.471553e-01 7.304830e-02 8.362377e-01
3138 CPVL 2.473871e-01 7.274491e-02 8.413010e-01
11678 SLC1A3 2.478209e-01 7.410969e-02 8.287069e-01
6390 ITGB2 2.480211e-01 7.365570e-02 8.351625e-01
5304 GLUL 2.482493e-01 7.266206e-02 8.481418e-01
5401 GPBAR1 2.501312e-01 7.364548e-02 8.495513e-01
7060 LMO2 2.502226e-01 7.034889e-02 8.900120e-01
9882 PPM1M 2.502842e-01 7.487609e-02 8.366113e-01
12892 TLR4 2.503273e-01 7.062235e-02 8.873075e-01
2413 CCR7 2.506879e-01 7.176461e-02 8.757022e-01
8969 OSMR 2.507182e-01 7.444316e-02 8.443974e-01
4055 EGR3 2.507260e-01 7.329354e-02 8.576950e-01
6401 ITIH5 2.510092e-01 7.581467e-02 8.310479e-01
2746 CHI3L1 2.510678e-01 7.801672e-02 8.079683e-01
7923 MNDA 2.511455e-01 7.406196e-02 8.516392e-01
7993 MRGPRF 2.511541e-01 7.440098e-02 8.478165e-01
9738 PODNL1 2.511720e-01 7.409100e-02 8.514850e-01
12475 SUSD2 2.514756e-01 7.159766e-02 8.832689e-01
4054 EGR2 2.515169e-01 8.064405e-02 7.844440e-01
1045 B3GNT2 2.515563e-01 7.564240e-02 8.365751e-01
10475 RASA3 2.517378e-01 7.539991e-02 8.404774e-01
9892 PPP1R12B 2.521216e-01 7.471035e-02 8.508234e-01
9516 PILRA 2.521247e-01 7.266237e-02 8.748250e-01
753 ARHGEF6 2.526373e-01 7.212410e-02 8.849414e-01
6945 LDB1 2.527696e-01 7.380107e-02 8.657392e-01
6584 KIAA0040 2.528333e-01 7.527879e-02 8.491725e-01
2362 CCL14 2.529241e-01 7.560227e-02 8.461464e-01
3350 CXorf21 2.529885e-01 7.435643e-02 8.607617e-01
5345 GNG2 2.533561e-01 7.448192e-02 8.618110e-01
11196 SCARF1 2.534034e-01 7.521231e-02 8.537600e-01
8709 NPR2 2.538799e-01 7.553601e-02 8.533015e-01
7979 MPV17L 2.539579e-01 7.463046e-02 8.641861e-01
10425 RAI2 2.540537e-01 7.807165e-02 8.267184e-01
2440 CD1E 2.543577e-01 7.070116e-02 9.150888e-01
3432 DAB2 2.548361e-01 7.704312e-02 8.429232e-01
5456 GPR34 2.552922e-01 7.574955e-02 8.603895e-01
11838 SLC46A3 2.554729e-01 7.504336e-02 8.697161e-01
9935 PPP3CB 2.556520e-01 7.611247e-02 8.587023e-01
2863 CLEC10A 2.557165e-01 7.469785e-02 8.754057e-01
10708 RHOJ 2.565878e-01 7.673122e-02 8.580246e-01
10605 REEP5 2.566813e-01 7.401847e-02 8.901194e-01
6943 LCP1 2.580723e-01 7.417898e-02 8.978463e-01
6438 JAZF1 2.581506e-01 7.923280e-02 8.410877e-01
5231 GIMAP5 2.588944e-01 7.577732e-02 8.845168e-01
2966 CNRIP1 2.589771e-01 7.569868e-02 8.860015e-01
13540 TTL 2.593680e-01 7.514353e-02 8.952437e-01
3501 DCTN4 2.595134e-01 7.571102e-02 8.895295e-01
12512 SYNPO 2.599995e-01 8.116176e-02 8.329012e-01
9007 P2RY13 2.602186e-01 7.551716e-02 8.966668e-01
4134 ELF5 2.605008e-01 7.560790e-02 8.975343e-01
13134 TMEM9B 2.607014e-01 7.839486e-02 8.669601e-01
4870 FLI1 2.610469e-01 7.512610e-02 9.070813e-01
7341 LRRC8C 2.611132e-01 7.531983e-02 9.052078e-01
3118 CPNE2 2.614521e-01 7.906373e-02 8.645836e-01
9006 P2RY12 2.621378e-01 7.878964e-02 8.721483e-01
9823 POU2F3 2.636669e-01 7.929755e-02 8.767007e-01
12449 SULT1A1 2.651691e-01 7.410476e-02 9.488547e-01
10184 PTEN 2.657851e-01 7.946905e-02 8.889210e-01
2446 CD22 2.665322e-01 7.625180e-02 9.316423e-01
6333 IRAK4 2.666821e-01 8.096475e-02 8.783992e-01
602 AP1S2 2.673731e-01 7.715185e-02 9.265934e-01
1642 C1QTNF1 2.693314e-01 7.848698e-02 9.242221e-01
3492 DCN 2.696250e-01 7.991362e-02 9.097029e-01
3325 CX3CR1 2.704291e-01 8.005625e-02 9.135066e-01
10250 PTPRO 2.706686e-01 8.098875e-02 9.045885e-01
6142 IGDCC4 2.709843e-01 7.742504e-02 9.484332e-01
5565 GSTM5 2.716836e-01 7.409925e-02 9.961229e-01
12453 SULT1C4 2.717143e-01 7.785870e-02 9.482393e-01
9445 PHLDB1 2.727076e-01 8.173205e-02 9.099177e-01
7443 MADD 2.732309e-01 8.094418e-02 9.223042e-01
4453 FAM120B 2.744474e-01 8.314509e-02 9.059026e-01
11821 SLC40A1 2.750603e-01 8.268074e-02 9.150642e-01
11582 SIGLEC5 2.753304e-01 8.229789e-02 9.211272e-01
9621 PLD4 2.765751e-01 8.174075e-02 9.358098e-01
6478 KAZ 2.790629e-01 8.126488e-02 9.582996e-01
12410 STS 2.803354e-01 8.266090e-02 9.507268e-01
13285 TPP1 2.807299e-01 8.204574e-02 9.605533e-01
3028 COL6A6 2.820759e-01 9.675265e-02 8.223733e-01
11391 SERPINB1 2.821179e-01 8.161725e-02 9.751680e-01
14819 ZNF799 2.836016e-01 8.140913e-02 9.879708e-01
682 ARAF 2.842074e-01 9.936371e-02 8.129108e-01
4715 FBXO25 2.852957e-01 8.556195e-02 9.512829e-01
5469 GPR85 2.855743e-01 8.365340e-02 9.748879e-01
623 APBB1IP 2.865093e-01 8.296799e-02 9.893887e-01
12285 SSH2 2.886221e-01 9.584771e-02 8.691155e-01
7568 MAPKAPK2 2.892393e-01 9.573179e-02 8.738932e-01
13198 TNF 2.900391e-01 8.729793e-02 9.636277e-01
12715 TEAD1 2.909843e-01 8.642829e-02 9.796779e-01
2285 CCDC152 2.914277e-01 9.980924e-02 8.509243e-01
8355 NBPF10 2.937665e-01 1.018453e-01 8.473516e-01
5361 GNS 2.945075e-01 9.632794e-02 9.004103e-01
6110 IFI30 2.961636e-01 9.905503e-02 8.854967e-01
2368 CCL22 2.981532e-01 9.001661e-02 9.875436e-01
7017 LILRB5 3.001619e-01 9.924434e-02 9.078319e-01
8579 NINJ1 3.005138e-01 1.016934e-01 8.880477e-01
12750 TFAP2E 3.020581e-01 9.635636e-02 9.468925e-01
14516 ZNF322A 3.025947e-01 9.957645e-02 9.195304e-01
100 ACADL 3.035233e-01 1.059265e-01 8.697199e-01
13181 TNFRSF1B 3.040650e-01 1.024180e-01 9.027274e-01
7024 LIMK2 3.071896e-01 1.042713e-01 9.049986e-01
8649 NOD2 3.071973e-01 1.064806e-01 8.862666e-01
12760 TFEC 3.073521e-01 1.042702e-01 9.059667e-01
4661 FARP2 3.079135e-01 1.099455e-01 8.623426e-01
12438 SUB1 3.081136e-01 1.023184e-01 9.278295e-01
8150 MTMR12 3.085625e-01 1.063029e-01 8.956562e-01
6887 LAIR1 3.089744e-01 1.061051e-01 8.997224e-01
1494 C15orf39 3.095003e-01 1.049775e-01 9.124854e-01
6823 KL 3.099106e-01 1.080926e-01 8.885402e-01
11747 SLC29A1 3.099643e-01 1.081635e-01 8.882654e-01
13596 TXNDC5 3.101948e-01 1.088612e-01 8.838855e-01
7041 LITAF 3.109896e-01 1.076623e-01 8.983137e-01
11143 SAMSN1 3.110175e-01 1.062996e-01 9.099928e-01
3384 CYP17A1 3.117598e-01 1.054218e-01 9.219553e-01
4933 FOLR1 3.124227e-01 1.075415e-01 9.076307e-01
14219 ZBTB1 3.124739e-01 1.092244e-01 8.939392e-01
8384 NCKAP1L 3.128482e-01 1.050583e-01 9.316163e-01
10499 RASSF4 3.128820e-01 1.071716e-01 9.134429e-01
12896 TLR8 3.129262e-01 1.018538e-01 9.614050e-01
519 ANKRD13A 3.131180e-01 1.117599e-01 8.772639e-01
11866 SLC7A10 3.136544e-01 1.046977e-01 9.396497e-01
4981 FRMD4A 3.139374e-01 1.067831e-01 9.229617e-01
4005 EEA1 3.139549e-01 1.071199e-01 9.201622e-01
10616 RENBP 3.150030e-01 1.047769e-01 9.470302e-01
9728 PNPLA7 3.151214e-01 1.119626e-01 8.869163e-01
7961 MPEG1 3.152215e-01 1.070980e-01 9.277914e-01
6387 ITGAX 3.153262e-01 1.054021e-01 9.433457e-01
11318 SELENBP1 3.153711e-01 1.083318e-01 9.180957e-01
11154 SARDH 3.158519e-01 1.090534e-01 9.148032e-01
8615 NLRC4 3.160285e-01 1.050965e-01 9.503078e-01
723 ARHGAP30 3.164267e-01 1.059250e-01 9.452524e-01
7491 MAN1A1 3.166106e-01 1.108096e-01 9.046354e-01
4854 FKBP15 3.166378e-01 1.059466e-01 9.463213e-01
5970 HP 3.168189e-01 1.081386e-01 9.281993e-01
5245 GIT2 3.170949e-01 1.093322e-01 9.196667e-01
8693 NPC2 3.173719e-01 1.073323e-01 9.384398e-01
5488 GPSM3 3.177562e-01 1.154958e-01 8.742226e-01
2095 CACNA2D2 3.177654e-01 1.080456e-01 9.345579e-01
3813 DOCK4 3.179884e-01 1.081458e-01 9.350031e-01
818 ARRB2 3.181783e-01 1.062668e-01 9.526720e-01
3639 DHRS3 3.182455e-01 1.153389e-01 8.781098e-01
458 AMACR 3.187226e-01 1.087670e-01 9.339610e-01
3811 DOCK2 3.188501e-01 1.070308e-01 9.498704e-01
8083 MS4A7 3.191341e-01 1.074932e-01 9.474703e-01
2461 CD302 3.192271e-01 1.140454e-01 8.935559e-01
14746 ZNF677 3.196942e-01 1.079778e-01 9.465316e-01
2846 CLCN7 3.199718e-01 1.113859e-01 9.191640e-01
5202 GFOD1 3.201570e-01 1.161542e-01 8.824523e-01
3106 CPAMD8 3.203819e-01 1.108179e-01 9.262456e-01
5854 HLA-DRA 3.210072e-01 1.076713e-01 9.570385e-01
6702 KIAA2018 3.210127e-01 1.117543e-01 9.221045e-01
9508 PIK3IP1 3.213399e-01 1.117085e-01 9.243638e-01
2129 CAMK2G 3.214684e-01 1.193802e-01 8.656538e-01
8381 NCF4 3.219244e-01 1.101777e-01 9.406198e-01
11989 SNCA 3.219929e-01 1.106281e-01 9.371890e-01
5268 GLCCI1 3.222075e-01 1.116128e-01 9.301593e-01
9322 PDZRN3 3.224490e-01 1.112193e-01 9.348495e-01
10107 PSAP 3.226457e-01 1.080544e-01 9.634055e-01
7507 MAOB 3.229576e-01 1.047791e-01 9.954427e-01
3748 DNAJB12 3.229848e-01 1.099999e-01 9.483565e-01
1491 C15orf27 3.229930e-01 1.045800e-01 9.975564e-01
11636 SLA 3.235153e-01 1.079819e-01 9.692562e-01
6747 KIRREL 3.237581e-01 1.160229e-01 9.034363e-01
14310 ZEB2 3.237981e-01 1.108565e-01 9.457737e-01
2369 CCL23 3.242159e-01 1.113185e-01 9.442804e-01
3947 DYRK2 3.248323e-01 1.106722e-01 9.534104e-01
5850 HLA-DQA1 3.248430e-01 1.097108e-01 9.618281e-01
12889 TLR1 3.248710e-01 1.099879e-01 9.595710e-01
12450 SULT1A2 3.256484e-01 1.117036e-01 9.493591e-01
7248 LPCAT3 3.257272e-01 1.087797e-01 9.753492e-01
12498 SYN1 3.257968e-01 1.090918e-01 9.729747e-01
1423 C12orf4 3.258436e-01 1.134214e-01 9.361026e-01
14663 ZNF564 3.259115e-01 1.108592e-01 9.581375e-01
8756 NRN1 3.260757e-01 1.110589e-01 9.573780e-01
7434 M6PR 3.261575e-01 1.115347e-01 9.537726e-01
2882 CLIC6 3.262440e-01 1.096568e-01 9.706208e-01
4937 FOSL2 3.265423e-01 1.133420e-01 9.407802e-01
10228 PTPN22 3.266829e-01 1.104113e-01 9.665835e-01
9218 PCNX 3.267748e-01 1.115341e-01 9.573914e-01
